,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
102,102,-52.333333333333336,2022-03-08 21:29:47.282796,2022-03-08 21:30:58.487796,0 days 00:01:11.205000,32,0.3,0.00011963809371719299,0.92,0.999,7.732231408214906e-05,0.9,10,64,0.9157831201437374,PRUNED
103,103,-34.0,2022-03-08 21:29:56.997795,2022-03-08 21:31:48.457797,0 days 00:01:51.460002,64,0.2,0.0003903892765369965,0.92,0.999,8.188351513251137e-05,0.9,20,64,0.8898240761041301,COMPLETE
104,104,-45.333333333333336,2022-03-08 21:30:58.489796,2022-03-08 21:32:52.376795,0 days 00:01:53.886999,64,0.2,0.00038083138432575697,0.92,0.999,8.547228822563812e-05,0.9,20,64,0.8872536679982145,COMPLETE
105,105,-53.0,2022-03-08 21:31:48.460796,2022-03-08 21:32:39.699796,0 days 00:00:51.239000,64,0.2,0.00018865520106201773,0.92,0.999,8.675336489123923e-05,0.9,20,64,0.891788862556658,PRUNED
106,106,-60.666666666666664,2022-03-08 21:32:23.659796,2022-03-08 21:33:14.245795,0 days 00:00:50.585999,64,0.2,0.00019811670413471259,0.92,0.999,6.835118664004799e-05,0.9,20,64,0.8859548068430463,PRUNED
107,107,-46.333333333333336,2022-03-08 21:32:39.701796,2022-03-08 21:33:32.670795,0 days 00:00:52.968999,64,0.2,0.0002899153525814291,0.92,0.999,6.545742110026873e-05,0.9,20,64,0.9863413223237122,PRUNED
108,108,-52.333333333333336,2022-03-08 21:32:52.378795,2022-03-08 21:33:45.600796,0 days 00:00:53.222001,64,0.2,0.00030850908180758555,0.92,0.999,0.00012124787743196054,0.9,20,64,0.9821091321649108,PRUNED
109,109,-43.333333333333336,2022-03-08 21:33:14.246796,2022-03-08 21:34:05.389795,0 days 00:00:51.142999,64,0.2,0.0003118553011062687,0.92,0.999,0.00012123240674587524,0.9,1,64,0.8207826874143073,PRUNED
110,110,-55.666666666666664,2022-03-08 21:33:32.672796,2022-03-08 21:34:58.761795,0 days 00:01:26.088999,64,0.2,0.0005176520043591429,0.98,0.999,0.00012217272059541473,2.0,1,64,0.8174555564017598,COMPLETE
111,111,-46.333333333333336,2022-03-08 21:33:45.602795,2022-03-08 21:34:38.691796,0 days 00:00:53.089001,64,0.4,0.0005045057225446289,0.98,0.99,0.00020049114945133674,2.0,1,64,0.9463903513238847,PRUNED
112,112,-46.333333333333336,2022-03-08 21:34:05.391795,2022-03-08 21:34:43.450795,0 days 00:00:38.059000,128,0.4,0.0004958155463907266,0.98,0.99,0.00022728216520351608,2.0,1,512,0.945639289339813,PRUNED
113,113,-46.666666666666664,2022-03-08 21:35:01.308796,2022-03-08 21:36:57.814796,0 days 00:01:56.506000,64,0.2,0.0004579593359682362,0.8,0.9999,5.557011945886503e-05,1.0,20,2048,0.8604955625133732,COMPLETE
114,114,-53.333333333333336,2022-03-08 21:35:01.311796,2022-03-08 21:35:52.636795,0 days 00:00:51.324999,64,0.2,0.00039507429850528465,0.8,0.9999,0.0001025907859176378,1.0,20,2048,0.8591241137774844,PRUNED
115,115,-48.333333333333336,2022-03-08 21:35:01.318795,2022-03-08 21:35:52.960796,0 days 00:00:51.642001,64,0.2,0.0004628441316010107,0.8,0.9999,0.00010266472868841891,1.0,20,2048,0.8569834426689975,PRUNED
