#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
25,1,34.239625
25,1,34.239625
33,4,34.255246
29,3,34.255246
30,4,34.270868
29,6,34.286495
27,2,34.286495
35,7,34.302118
25,1,34.302118
33,16,34.348993
25,2,34.36462
27,2,34.36462
25,1,34.36462
28,3,34.36462
25,1,34.380243
30,10,34.395868
31,4,34.411494
37,3,34.411494
29,2,34.427125
30,7,34.442746
29,2,34.442746
25,12,34.473998
25,1,34.473998
29,2,34.473998
25,10,34.505244
25,1,34.505244
33,3,34.520869
33,6,34.536494
27,2,35.223994
27,2,35.239618
-6,15,35.270875
25,1,35.270875
27,2,35.286495
42,6,35.30212
31,7,35.317746
31,8,35.333371
25,2,35.349
32,5,35.349
25,1,35.36462
29,2,35.36462
37,7,35.380246
29,3,35.395868
37,4,35.395868
43,7,35.411496
39,3,35.427121
-3,10,35.442744
36,5,35.45837
27,2,35.473997
35,7,35.489621
27,2,35.489621
35,6,35.505245
29,10,35.552121
-3,6,35.567743
29,2,35.567743
26,3,35.583367
43,8,35.598993
43,6,35.61462
25,1,35.61462
29,2,35.61462
-1,8,35.645871
27,2,35.645871
36,9,35.661495
27,11,35.692745
34,10,35.723999
30,11,35.739619
29,3,35.755243
27,2,35.755243
-3,12,35.786494
31,3,35.802119
39,8,35.817745
33,5,35.833368
31,12,35.86462
44,11,35.891956
25,1,35.893956
30,5,36.5779
25,2,36.593526
32,11,36.624776
29,3,36.624776
27,10,36.656028
25,2,36.656028
28,3,36.671653
25,1,36.671653
31,5,36.687278
29,3,36.687278
29,3,36.702902
26,4,36.702902
36,8,36.734152
-15,22,36.781025
37,4,36.796651
29,3,36.796651
33,4,36.812277
36,5,36.827901
25,1,36.827901
25,1,36.827901
27,2,36.827901
25,1,36.843527
27,6,36.859153
29,4,36.859153
25,1,36.859153
31,7,36.890402
25,1,36.890402
31,4,36.890402
26,14,36.937277
33,4,36.937277
35,12,36.968529
28,7,36.984154
25,1,36.999776
26,7,37.015401
25,1,37.015401
30,4,37.031025
32,4,37.046652
43,5,37.062277
25,1,37.062277
32,4,37.062277
31,5,37.077902
35,7,37.109152
31,4,37.109152
-6,11,37.140402
30,7,37.156026
-4,11,37.187278
25,2,37.187278
35,4,37.202903
31,3,37.218526
27,2,37.218526
32,4,37.218526
-17,16,37.968527
25,1,37.968527
32,6,37.984151
33,3,37.999777
29,2,37.999777
33,3,38.015403
7,6,38.031026
29,3,38.031026
27,2,38.031026
29,4,38.04665
27,2,38.062277
25,1,38.062277
43,4,38.062277
25,1,38.077903
25,1,38.077903
29,2,38.077903
29,2,38.077903
25,2,38.093526
33,9,38.109153
25,2,38.124777
25,1,38.124777
27,2,38.124777
22,6,38.140403
42,6,38.156029
27,3,38.171651
25,1,38.171651
25,1,38.171651
29,14,38.218527
36,6,38.234153
26,7,38.265402
25,2,38.281029
29,2,38.281029
26,6,38.312276
30,11,38.343525
25,1,38.343525
35,4,38.359151
32,7,38.374775
37,2,38.374775
32,6,38.3904
27,4,38.406027
27,2,38.421652
29,2,38.421652
36,7,38.4529
39,8,38.468528
25,2,38.484154
31,6,38.499779
38,6,38.531026
25,16,38.577904
25,1,38.577904
37,2,38.593528
25,1,38.593528
33,6,38.609152
35,9,38.640404
38,7,38.656028
27,2,38.671651
32,5,38.687279
25,1,38.687279
35,5,38.702902
25,1,38.702902
27,2,38.702902
38,4,38.718529
25,1,38.718529
25,1,38.718529
33,11,39.531028
25,2,39.546654
32,9,39.577903
33,7,39.609153
25,1,39.624777
29,3,39.624777
32,8,39.671653
33,3,39.687279
29,2,39.687279
39,6,39.718528
27,2,39.718528
36,8,39.74978
43,7,39.781028
25,2,39.781028
25,1,39.781028
28,7,39.812278
27,2,39.812278
35,10,39.843529
34,5,39.874778
25,1,39.874778
42,5,39.890403
25,1,39.890403
29,2,39.906029
25,1,39.906029
25,1,39.921652
31,4,39.937276
30,4,39.952904
44,5,39.968528
25,2,39.968528
46,7,39.984153
25,1,39.984153
36,8,40.015404
44,8,40.046653
27,12,40.093529
36,8,40.124775
35,7,40.156028
39,15,40.187279
34,12,40.234155
31,3,40.234155
33,3,40.249779
25,2,40.249779
38,9,40.281027
43,12,40.312279
25,1,40.312279
27,2,40.327902
28,6,40.343529
27,9,40.359153
29,3,40.374778
30,5,40.390403
24,3,40.390403
47,7,41.231979
31,4,41.247604
35,4,41.263228
29,2,41.263228
25,1,41.263228
27,2,41.278854
26,14,41.310103
29,17,41.356979
25,1,41.372603
25,1,41.372603
25,1,41.372603
27,2,41.372603
25,1,41.388228
25,2,41.388228
29,2,41.388228
33,8,41.41948
25,1,41.41948
25,2,41.41948
26,4,41.435104
27,8,41.466355
33,9,41.528855
38,5,41.560104
25,1,41.560104
29,6,41.575729
41,3,41.591355
45,4,41.591355
36,5,41.606979
25,1,41.622604
29,3,41.622604
27,2,41.638229
29,2,41.638229
29,3,41.653855
33,8,41.669479
29,2,41.685105
36,6,41.70073
31,3,41.70073
27,3,41.716352
41,4,41.73198
33,3,41.747603
26,6,41.763229
25,1,41.763229
29,2,41.778854
29,3,41.794477
25,1,41.794477
36,3,41.810104
41,4,41.810104
31,3,41.825728
25,1,41.825728
33,3,41.841355
41,6,41.85698
31,14,41.919478
41,5,41.935106
35,16,41.98198
27,3,41.997603
27,2,41.997603
31,3,42.013229
33,8,42.028854
25,1,42.028854
37,4,42.044477
27,5,42.060104
33,8,42.981979
29,2,42.981979
24,3,42.997605
42,6,43.013228
32,12,43.044477
31,2,43.060101
29,2,43.060101
33,3,43.060101
29,2,43.075728
27,2,43.075728
29,2,43.091353
30,7,43.106979
40,4,43.122601
29,2,43.122601
39,5,43.138227
25,2,43.138227
25,5,43.153854
28,4,43.169477
41,8,43.185102
27,5,43.200727
36,5,43.216353
25,1,43.216353
34,7,43.231978
29,3,43.231978
25,1,43.247602
35,6,43.263233
35,3,43.263233
28,4,43.278853
35,7,43.294477
29,2,43.294477
32,8,43.310105
29,2,43.310105
29,2,43.325729
30,6,43.341353
32,4,43.341353
16,25,43.403852
25,1,43.403852
38,7,43.419479
41,4,43.435103
27,8,43.450729
28,8,43.466353
23,4,43.481978
26,3,43.497603
24,3,43.497603
36,6,43.513227
29,2,43.513227
29,8,43.544477
29,2,43.544477
25,2,43.544477
29,2,43.560103
25,1,43.560103
25,6,43.575727
31,2,43.591352
38,6,43.606978
35,10,43.622603
30,7,44.341351
29,2,44.341351
25,20,44.403853
34,5,44.403853
32,4,44.419481
27,2,44.419481
26,3,44.435103
32,7,44.450733
31,4,44.466354
-3,12,44.497605
36,6,44.513228
29,3,44.528854
22,23,44.575728
29,2,44.575728
25,18,44.622603
40,8,44.653852
30,4,44.653852
30,15,44.700729
25,1,44.700729
25,1,44.700729
38,6,44.716353
29,2,44.731979
25,1,44.731979
29,5,44.747602
21,22,44.794479
32,5,44.810101
28,4,44.825726
29,3,44.825726
35,5,44.841352
32,5,44.856977
25,2,44.856977
25,1,44.856977
42,6,44.872602
36,7,44.888231
36,13,44.919478
25,1,44.919478
34,8,44.935105
36,5,44.950727
32,6,44.966355
25,5,44.981977
25,1,44.997601
35,9,45.716354
37,4,45.716354
30,5,45.731978
27,2,45.731978
34,5,45.747604
44,7,45.763227
36,5,45.778853
25,1,45.778853
32,5,45.794478
25,1,45.794478
29,8,45.810101
33,3,45.825728
43,4,45.841352
38,17,45.872609
25,1,45.872609
33,17,45.927817
29,2,45.927817
28,15,45.974692
29,3,45.974692
27,2,45.974692
27,2,45.990319
39,4,46.005944
29,2,46.005944
29,2,46.005944
25,1,46.005944
33,4,46.021567
33,8,46.037194
37,7,46.068444
31,3,46.068444
29,2,46.084068
12,42,46.177824
31,8,46.209069
29,2,46.209069
42,7,46.224694
25,2,46.24032
37,4,46.24032
36,6,46.255944
29,3,46.271569
25,1,46.271569
33,10,46.287194
25,2,46.302819
30,11,46.318445
25,1,46.318445
25,1,46.334069
42,9,47.037192
37,4,47.037192
25,1,47.037192
44,8,47.068442
31,7,47.068442
34,7,47.099695
43,7,47.115317
33,3,47.115317
27,8,47.130944
25,1,47.130944
31,3,47.146569
25,1,47.146569
31,3,47.146569
29,3,47.162192
42,5,47.193442
29,2,47.193442
